Country,Export,Import,Total Trade,Trade Balance,Financial Year(start),Mean
GUAM,0.08,,,,1997,0.0
GREENLAND,0.08,0,0.08,0.08,2008,0.08
FR S ANT TR,0.08,0,0.08,0.08,2006,0.08
FR GUIANA,0.08,,,,2004,0.0
FR GUIANA,0.08,0.16,0.24,-0.08,2006,0.07999999999999999
FALKLAND IS,0.08,0.03,0.11,0.05,2019,0.08
COOK IS,0.08,,,,2004,0.0
CHRISTMAS IS.,0.08,0.07,0.15,0.02,2005,0.08499999999999999
CAPE VERDE IS,0.08,,,,1998,0.0
CANARY IS,0.08,,,,2006,0.0
ANGUILLA,0.08,,,,2008,0.0
ANDORRA,0.08,0.03,0.11,0.04,2019,0.075
AMERI SAMOA,0.08,0.35,0.43,-0.26,2009,0.08499999999999999
AMERI SAMOA,0.08,0.14,0.22,-0.06,2016,0.08
WALLIS F IS,0.09,0.16,0.25,-0.07,2004,0.09
WALLIS F IS,0.09,0,0.1,0.09,2005,0.095
TUVALU,0.09,,,,2022,0.0
TOKELAU IS,0.09,0.21,0.3,-0.12,2000,0.09
ST VINCENT,0.09,1.95,2.04,-1.86,2003,0.08999999999999997
SINT MAARTEN (DUTCH PART),0.09,,,,2021,0.0
PITCAIRN IS.,0.09,,,,2001,0.0
PALAU,0.09,3.22,3.3,-3.13,2018,0.08499999999999996
NORFOLK IS,0.09,0.13,0.22,-0.04,2005,0.09
N. MARIANA IS.,0.09,0.38,0.46,-0.29,2007,0.08500000000000002
MARSHALL ISLAND,0.09,0.07,0.16,0.02,2007,0.09
MARSHALL ISLAND,0.09,0.88,0.97,-0.79,2012,0.08999999999999997
MARSHALL ISLAND,0.09,0.28,0.37,-0.19,2022,0.09
KIRIBATI REP,0.09,,,,2005,0.0
GRENADA,0.09,0.09,0.18,0,1999,0.09
FALKLAND IS,0.09,0.94,1.04,-0.85,2008,0.09500000000000003
COOK IS,0.09,0.01,0.1,0.08,2005,0.09
COOK IS,0.09,,,,2013,0.0
COCOS IS,0.09,0.02,0.1,0.07,2007,0.085
ANGUILLA,0.09,0.03,0.12,0.06,2021,0.09
ANDORRA,0.09,,,,2000,0.0
ANDORRA,0.09,,,,2005,0.0
TUVALU,0.1,,,,2006,0.0
ST VINCENT,0.1,1.55,1.65,-1.45,2001,0.09999999999999998
ST HELENA,0.1,0.04,0.15,0.06,2004,0.105
SAO TOME,0.1,,,,2004,0.0
PITCAIRN IS.,0.1,,,,2003,0.0
NORFOLK IS,0.1,0.07,0.16,0.03,1999,0.095
NORFOLK IS,0.1,0.09,0.18,0.01,2004,0.095
NAURU RP,0.1,0.05,0.15,0.04,2020,0.095
MONTSERRAT,0.1,,,,1998,0.0
MARSHALL ISLAND,0.1,0.15,0.25,-0.06,2008,0.095
MACEDONIA,0.1,0.67,0.77,-0.57,1998,0.10000000000000003
LIECHTENSTEIN,0.1,,,,1997,0.0
GUAM,0.1,,,,1998,0.0
GUAM,0.1,0.08,0.18,0.01,2022,0.095
GREENLAND,0.1,0.04,0.14,0.07,2010,0.10500000000000001
GREENLAND,0.1,0.1,,,2016,0.0
FAROE IS.,0.1,,,,1999,0.0
COOK IS,0.1,,,,2003,0.0
CAYMAN IS,0.1,,,,1999,0.0
CANARY IS,0.1,,,,2004,0.0
ANTARTICA,0.1,0.07,0.17,0.03,2009,0.1
ANTARTICA,0.1,0.05,0.15,0.05,2017,0.1
ANDORRA,0.1,,,,2022,0.0
WALLIS F IS,0.11,,,,2001,0.0
VATICAN CITY,0.11,,,,2017,0.0
VANUATU REP,0.11,0.04,0.15,0.07,2001,0.11
PALAU,0.11,,,,2021,0.0
NORFOLK IS,0.11,0.81,0.92,-0.69,2009,0.11500000000000005
NIUE IS,0.11,0.29,0.4,-0.18,2006,0.11000000000000001
NAURU RP,0.11,3.66,3.76,-3.55,2003,0.10499999999999998
NAURU RP,0.11,4.05,4.15,-3.94,2010,0.1050000000000002
LESOTHO,0.11,,,,1998,0.0
EQUTL GUINEA,0.11,0.01,0.13,0.1,2002,0.115
CHANNEL IS,0.11,0.25,0.36,-0.15,1999,0.105
CHANNEL IS,0.11,,,,2005,0.0
CAPE VERDE IS,0.11,,,,2001,0.0
CAPE VERDE IS,0.11,,,,2002,0.0
CANARY IS,0.11,,,,2003,0.0
BR VIRGN IS,0.11,0,0.11,0.11,2004,0.11
ANDORRA,0.11,0.01,0.12,0.1,2012,0.11
VIRGIN IS US,0.12,0,0.12,0.12,1997,0.12
VATICAN CITY,0.12,0.17,0.29,-0.05,2014,0.12
TUVALU,0.12,,,,2010,0.0
PITCAIRN IS.,0.12,0.01,0.13,0.11,2020,0.12
NAURU RP,0.12,28.07,28.18,-27.95,2008,0.11500000000000021
N. MARIANA IS.,0.12,,,,2022,0.0
MARSHALL ISLAND,0.12,0.01,0.14,0.11,2014,0.125
KIRIBATI REP,0.12,,,,1998,0.0
KIRIBATI REP,0.12,,,,2000,0.0
COOK IS,0.12,,,,2007,0.0
COOK IS,0.12,0.03,0.15,0.08,2011,0.11499999999999999
CAYMAN IS,0.12,,,,2000,0.0
BR VIRGN IS,0.12,,,,1997,0.0
ANTIGUA,0.12,,,,2001,0.0
ANGUILLA,0.12,,,,2005,0.0
ANGUILLA,0.12,0.14,0.26,-0.02,2011,0.12000000000000001
ANDORRA,0.12,0,0.12,0.12,2013,0.12
ANDORRA,0.12,0,0.12,0.12,2015,0.12
TURKS C IS,0.13,0.05,0.17,0.08,2020,0.125
ST PIERRE,0.13,0.02,0.15,0.11,1997,0.13
NIUE IS,0.13,,,,2003,0.0
MONTSERRAT,0.13,0,0.13,0.13,2009,0.13
KIRIBATI REP,0.13,0.45,0.58,-0.32,2010,0.12999999999999998
COOK IS,0.13,0,0.13,0.13,2008,0.13
ANDORRA,0.13,0.03,0.16,0.1,2006,0.13
ANDORRA,0.13,0.01,0.14,0.12,2007,0.13
AMERI SAMOA,0.13,0.24,0.37,-0.1,2008,0.135
AMERI SAMOA,0.13,3.08,3.21,-2.95,2019,0.1299999999999999
VANUATU REP,0.14,4.45,4.59,-4.31,2002,0.14000000000000012
TUVALU,0.14,0,0.14,0.14,2005,0.14
TOKELAU IS,0.14,0,0.15,0.14,2004,0.14500000000000002
SAN MARINO,0.14,0.64,0.78,-0.5,2017,0.14
SAN MARINO,0.14,0.02,0.16,0.11,2022,0.135
NAURU RP,0.14,0.07,0.21,0.07,2019,0.14
N. MARIANA IS.,0.14,0.06,0.2,0.07,2010,0.135
MICRONESIA,0.14,,,,2016,0.0
MARSHALL ISLAND,0.14,8.71,8.86,-8.57,2016,0.14499999999999957
LIECHTENSTEIN,0.14,0.64,0.78,-0.5,2011,0.14
JERSEY,0.14,0.14,,,2019,0.0
GIBRALTAR,0.14,,,,1997,0.0
GIBRALTAR,0.14,0,0.14,0.14,1998,0.14
FR S ANT TR,0.14,0.08,0.22,0.07,2004,0.14500000000000002
FR POLYNESIA,0.14,,,,2002,0.0
FAROE IS.,0.14,,,,2004,0.0
FAROE IS.,0.14,0.06,0.21,0.08,2009,0.145
CANARY IS,0.14,,,,2010,0.0
ANDORRA,0.14,0.09,0.23,0.06,2016,0.14500000000000002
UNION OF SERBIA & MONTENEGRO,0.15,,,,2016,0.0
TURKS C IS,0.15,0.01,0.16,0.14,2014,0.15000000000000002
TOKELAU IS,0.15,0.25,0.4,-0.1,2006,0.15000000000000002
SAN MARINO,0.15,0.21,0.36,-0.06,2018,0.15
PITCAIRN IS.,0.15,,,,1998,0.0
N. MARIANA IS.,0.15,0,0.15,0.15,2019,0.15
MONTSERRAT,0.15,,,,1999,0.0
KIRIBATI REP,0.15,,,,1997,0.0
GUAM,0.15,,,,1999,0.0
COOK IS,0.15,,,,2016,0.0
CHANNEL IS,0.15,,,,2004,0.0
CAPE VERDE IS,0.15,0,0.15,0.15,2005,0.15
